date,store_id,region,category,product,quantity,unit_price,revenue,cost
2024-11-27,S05,Санкт-Петербург,Электроника,Наушники,4.0,3898.53,15594.12,12198.85
2023-11-02,S02,Москва,Канцтовары,Калькулятор,7.0,1205.6,8439.2,4117.43
2023-08-21,S03,Москва,Одежда,Джинсы,1.0,4409.67,4409.67,2814.88
2024-10-19,S09,Ростов-на-Дону,Бытовая техника,Утюг,4.0,4422.54,17690.16,12907.94
2023-10-09,S10,Самара,Бытовая техника,Блендер,4.0,4544.02,18176.08,12471.91
2023-04-14,S02,Москва,Канцтовары,Степлер,3.0,411.18,1233.54,520.24
2023-06-30,S09,Ростов-на-Дону,Бытовая техника,Утюг,1.0,,4379.33,3159.09
2025-07-06,S09,Ростов-на-Дону,Бытовая техника,Чайник,1.0,3020.46,3020.46,2034.28
2025-11-16,S03,Москва,Электроника,Колонка,,6200.37,18601.11,15193.57
2024-11-15,S08,Новосибирск,Электроника,Планшет,3.0,16200.84,48602.52,37412.0
2024-01-09,S04,Санкт-Петербург,Канцтовары,Калькулятор,6.0,1188.24,7129.44,3632.96
2024-01-18,S01,Москва,Канцтовары,Калькулятор,2.0,1160.33,2320.66,1173.89
2024-09-09,S06,Казань,Бытовая техника,Утюг,7.0,4327.85,30294.95,22662.16
2024-05-03,S02,Москва,Бытовая техника,Чайник,2.0,3377.61,6755.22,4674.9
2024-08-11,S02,Москва,Электроника,Планшет,2.0,18693.84,37387.68,27732.7
2024-06-12,S05,Санкт-Петербург,Одежда,Кроссовки,2.0,6107.65,12215.3,5847.27
2023-03-11,S04,Санкт-Петербург,Одежда,Кроссовки,3.0,6845.89,20537.67,10767.81
2023-01-21,S02,Москва,Продукты,Мёд 500г,1.0,581.72,581.72,407.38
2024-12-04,S01,Москва,Продукты,Шоколад,1.0,251.87,251.87,162.34
2024-05-06,S08,Новосибирск,Электроника,Смартфон,1.0,28633.11,28633.11,21945.35
2025-11-04,S02,Москва,Канцтовары,Ежедневник,1.0,801.09,801.09,340.68
2024-08-31,S05,Санкт-Петербург,Электроника,Колонка,,5395.11,5395.11,4125.66
2024-07-01,S10,Самара,Бытовая техника,Пылесос,2.0,,25757.28,17969.64
2025-08-20,S04,Санкт-Петербург,Бытовая техника,Чайник,2.0,3196.62,6393.24,4384.31
2024-09-19,S05,Санкт-Петербург,Канцтовары,Степлер,1.0,503.66,503.66,252.23
2023-04-14,S04,Санкт-Петербург,Продукты,Мёд 500г,3.0,555.22,1665.66,1264.89
2023-05-12,S02,Москва,Канцтовары,Набор ручек,4.0,339.17,1356.68,752.89
2025-04-18,S06,Казань,Продукты,Чай 100п,1.0,,488.55,338.18
2023-07-29,S02,Москва,Канцтовары,Степлер,1.0,489.34,489.34,219.39
2024-11-14,S06,Казань,Канцтовары,Степлер,3.0,435.07,1305.21,644.8
2023-07-11,S01,Москва,Продукты,Мёд 500г,2.0,634.62,1269.24,910.77
2024-08-03,S05,Санкт-Петербург,Бытовая техника,Блендер,2.0,5182.13,10364.26,6957.03
2023-05-16,S10,Самара,Продукты,Чай 100п,1.0,440.96,440.96,302.65
2025-05-08,S09,Ростов-на-Дону,Одежда,Джинсы,1.0,4722.78,4722.78,2722.38
2025-07-30,S04,Санкт-Петербург,Продукты,Шоколад,2.0,259.32,518.64,358.25
2024-09-19,S06,Казань,Продукты,Шоколад,16.0,228.85,3661.6,2612.74
2023-03-15,S01,Москва,Электроника,Колонка,2.0,5446.9,10893.8,8947.19
2025-11-02,S10,Самара,Бытовая техника,Пылесос,1.0,12978.33,,9857.18
2025-01-31,S10,Самара,Электроника,Наушники,3.0,3458.45,10375.35,8194.76
2024-01-14,S04,Санкт-Петербург,Канцтовары,Степлер,4.0,422.8,1691.2,978.96
2025-10-11,S01,Москва,Электроника,Колонка,5.0,5107.81,25539.05,19419.7
2024-04-20,S10,Самара,Электроника,Смартфон,1.0,27206.14,27206.14,22220.7
2023-01-25,S09,Ростов-на-Дону,Продукты,Кофе 1кг,3.0,811.33,2433.99,1602.32
2025-03-24,S09,Ростов-на-Дону,Продукты,Кофе 1кг,1.0,822.66,822.66,527.22
2023-04-29,S01,Москва,Бытовая техника,Пылесос,2.0,13371.39,26742.78,20523.61
2025-05-20,S02,Москва,Канцтовары,Ежедневник,1.0,774.82,774.82,460.17
2023-01-19,S01,Москва,Продукты,Кофе 1кг,1.0,926.47,926.47,595.34
2024-03-07,S08,Новосибирск,Канцтовары,Набор ручек,1.0,347.68,347.68,201.25
2024-07-12,S05,Санкт-Петербург,Бытовая техника,Утюг,1.0,5060.97,5060.97,3471.52
2024-11-25,S04,Санкт-Петербург,Электроника,Наушники,2.0,3449.0,6898.0,5139.92
2024-05-05,S07,Екатеринбург,Электроника,Колонка,2.0,6176.6,12353.2,9588.1
2024-01-31,S10,Самара,Электроника,Смартфон,1.0,28537.63,28537.63,22581.21
2023-03-18,S01,Москва,Электроника,Наушники,1.0,3609.93,3609.93,2835.93
2023-03-18,S02,Москва,Продукты,Шоколад,1.0,264.1,264.1,196.5
2024-07-05,S09,Ростов-на-Дону,Одежда,Куртка,4.0,8545.03,34180.12,18243.79
2025-01-16,S08,Новосибирск,Бытовая техника,Пылесос,5.0,13247.57,66237.85,45126.56
2023-07-14,S10,Самара,Электроника,Смартфон,3.0,22734.79,68204.37,52970.77
2024-02-09,S07,Екатеринбург,Канцтовары,Набор ручек,1.0,364.6,364.6,174.25
2025-12-02,S01,Москва,Канцтовары,Ежедневник,1.0,714.68,714.68,342.63
2024-07-06,S02,Москва,Бытовая техника,Пылесос,1.0,13376.78,13376.78,10149.72
2025-04-06,S08,Новосибирск,Бытовая техника,Блендер,1.0,5013.12,5013.12,3765.66
2025-11-09,S08,Новосибирск,Электроника,Смартфон,6.0,27029.35,162176.1,121324.09
2023-12-25,S09,Ростов-на-Дону,Продукты,Чай 100п,3.0,456.81,1370.43,1037.82
2023-12-26,S10,Самара,Продукты,Кофе 1кг,2.0,816.17,1632.34,1137.58
2024-11-21,S04,Санкт-Петербург,Бытовая техника,Блендер,10.0,4620.74,46207.4,31764.51
2024-04-18,S04,Санкт-Петербург,Одежда,Футболка,12.0,1694.59,20335.08,12662.16
2024-06-20,S07,Екатеринбург,Одежда,Куртка,2.0,9696.29,19392.58,8978.58
2025-11-28,S09,Ростов-на-Дону,Электроника,Планшет,2.0,16601.42,33202.84,26677.72
2024-06-03,S07,Екатеринбург,Одежда,Кроссовки,1.0,6620.96,6620.96,4206.66
2025-11-08,S02,Москва,Электроника,Колонка,3.0,5450.59,16351.77,12830.56
2024-07-08,S05,Санкт-Петербург,Бытовая техника,Чайник,4.0,3659.36,14637.44,11319.97
2024-03-09,S09,Ростов-на-Дону,Канцтовары,Калькулятор,6.0,1116.53,6699.18,3260.74
2025-04-15,S09,Ростов-на-Дону,Одежда,Куртка,7.0,8865.28,62056.96,38348.31
2025-05-21,S07,Екатеринбург,Одежда,Джинсы,2.0,4237.79,8475.58,4524.79
2025-12-16,S10,Самара,Одежда,Футболка,2.0,1843.52,3687.04,2038.99
2025-05-11,S02,Москва,Канцтовары,Степлер,1.0,471.87,471.87,258.97
2024-03-11,S08,Новосибирск,Одежда,Кроссовки,6.0,6615.97,39695.82,23321.94
2024-05-14,S10,Самара,Одежда,Футболка,1.0,1631.79,1631.79,800.06
2023-03-26,S07,Екатеринбург,Бытовая техника,Блендер,1.0,5005.82,5005.82,3776.94
2025-08-15,S09,Ростов-на-Дону,Бытовая техника,Пылесос,1.0,13082.05,13082.05,9607.17
2023-10-20,S08,Новосибирск,Продукты,Шоколад,4.0,254.61,1018.44,703.06
2023-11-05,S07,Екатеринбург,Продукты,Мёд 500г,4.0,623.3,2493.2,1826.48
2024-02-17,S01,Москва,Бытовая техника,Пылесос,1.0,,12488.49,9278.3
2025-11-11,S04,Санкт-Петербург,Электроника,Наушники,7.0,3353.16,,17614.76
