date,store_id,region,category,product,quantity,unit_price,revenue,cost,profit,margin_pct,year,month
2024-11-27,S05,Санкт-Петербург,Электроника,Наушники,4.0,3898.53,15594.12,12198.85,3395.2700000000004,21.8,2024,11
2023-11-02,S02,Москва,Канцтовары,Калькулятор,7.0,1205.6,8439.2,4117.43,4321.77,51.2,2023,11
2023-08-21,S03,Москва,Одежда,Джинсы,1.0,4409.67,4409.67,2814.88,1594.79,36.2,2023,8
2024-10-19,S09,Ростов-на-Дону,Бытовая техника,Утюг,4.0,4422.54,17690.16,12907.94,4782.219999999999,27.0,2024,10
2023-10-09,S10,Самара,Бытовая техника,Блендер,4.0,4544.02,18176.08,12471.91,5704.170000000002,31.4,2023,10
2023-04-14,S02,Москва,Канцтовары,Степлер,3.0,411.18,1233.54,520.24,713.3,57.8,2023,4
2023-06-30,S09,Ростов-на-Дону,Бытовая техника,Утюг,1.0,3252.58,4379.33,3159.09,1220.2399999999998,27.9,2023,6
2025-07-06,S09,Ростов-на-Дону,Бытовая техника,Чайник,1.0,3020.46,3020.46,2034.28,986.1800000000001,32.6,2025,7
2025-11-16,S03,Москва,Электроника,Колонка,2.0,6200.37,18601.11,15193.57,3407.540000000001,18.3,2025,11
2024-11-15,S08,Новосибирск,Электроника,Планшет,3.0,16200.84,48602.52,37412.0,11190.519999999997,23.0,2024,11
2024-01-09,S04,Санкт-Петербург,Канцтовары,Калькулятор,6.0,1188.24,7129.44,3632.96,3496.4799999999996,49.0,2024,1
2024-01-18,S01,Москва,Канцтовары,Калькулятор,2.0,1160.33,2320.66,1173.89,1146.7699999999998,49.4,2024,1
2024-09-09,S06,Казань,Бытовая техника,Утюг,7.0,4327.85,30294.95,22662.16,7632.790000000001,25.2,2024,9
2024-05-03,S02,Москва,Бытовая техника,Чайник,2.0,3377.61,6755.22,4674.9,2080.3200000000006,30.8,2024,5
2024-08-11,S02,Москва,Электроника,Планшет,2.0,18693.84,37387.68,27732.7,9654.98,25.8,2024,8
2024-06-12,S05,Санкт-Петербург,Одежда,Кроссовки,2.0,6107.65,12215.3,5847.27,6368.029999999999,52.1,2024,6
2023-03-11,S04,Санкт-Петербург,Одежда,Кроссовки,3.0,6845.89,20537.67,10767.81,9769.859999999999,47.6,2023,3
2023-01-21,S02,Москва,Продукты,Мёд 500г,1.0,581.72,581.72,407.38,174.34000000000003,30.0,2023,1
2024-12-04,S01,Москва,Продукты,Шоколад,1.0,251.87,251.87,162.34,89.53,35.5,2024,12
2024-05-06,S08,Новосибирск,Электроника,Смартфон,1.0,28633.11,28633.11,21945.35,6687.760000000002,23.4,2024,5
2025-11-04,S02,Москва,Канцтовары,Ежедневник,1.0,801.09,801.09,340.68,460.41,57.5,2025,11
2024-08-31,S05,Санкт-Петербург,Электроника,Колонка,2.0,5395.11,5395.11,4125.66,1269.4499999999998,23.5,2024,8
