year,month,region,category,revenue,profit,cost,orders,qty
2023,1,Екатеринбург,Бытовая техника,4269.0,1140.0,3129.0,1,1.0
2023,1,Екатеринбург,Канцтовары,11597.0,6091.0,5505.0,3,13.0
2023,1,Екатеринбург,Одежда,15614.0,8098.0,7516.0,3,3.0
2023,1,Екатеринбург,Электроника,3764.0,679.0,3085.0,1,1.0
2023,1,Казань,Одежда,9408.0,3884.0,5523.0,1,5.0
2023,1,Казань,Продукты,989.0,243.0,745.0,1,1.0
2023,1,Казань,Электроника,23788.0,-5939.0,29727.0,2,2.0
2023,1,Москва,Бытовая техника,43725.0,13531.0,30194.0,2,11.0
2023,1,Москва,Канцтовары,5978.0,3105.0,2873.0,4,8.0
2023,1,Москва,Одежда,13157.0,3465.0,9692.0,2,2.0
2023,1,Москва,Продукты,19101.0,6027.0,13074.0,9,33.0
2023,1,Москва,Электроника,200739.0,42491.0,158248.0,4,9.0
2023,1,Новосибирск,Бытовая техника,13836.0,3622.0,10214.0,3,3.0
2023,1,Новосибирск,Одежда,13508.0,7034.0,6474.0,1,8.0
2023,1,Новосибирск,Продукты,8503.0,2834.0,5669.0,1,9.0
2023,1,Новосибирск,Электроника,14965.0,3696.0,11269.0,1,3.0
2023,1,Ростов-на-Дону,Бытовая техника,29865.0,9545.0,20320.0,2,6.0
2023,1,Ростов-на-Дону,Канцтовары,1822.0,754.0,1068.0,1,2.0
2023,1,Ростов-на-Дону,Продукты,2434.0,832.0,1602.0,1,3.0
2023,1,Ростов-на-Дону,Электроника,31252.0,6222.0,25030.0,2,3.0
2023,1,Самара,Бытовая техника,28396.0,9191.0,19205.0,2,3.0
2023,1,Самара,Канцтовары,6435.0,3574.0,2860.0,3,7.0
2023,1,Самара,Продукты,677.0,171.0,506.0,1,1.0
2023,1,Самара,Электроника,23231.0,5728.0,17503.0,2,2.0
2023,1,Санкт-Петербург,Бытовая техника,25948.0,6680.0,19268.0,3,6.0
2023,1,Санкт-Петербург,Канцтовары,1349.0,605.0,744.0,1,3.0
2023,1,Санкт-Петербург,Одежда,3824.0,1779.0,2045.0,1,2.0
2023,1,Санкт-Петербург,Продукты,2728.0,927.0,1802.0,2,5.0
2023,1,Санкт-Петербург,Электроника,110917.0,25630.0,85287.0,4,8.0
2023,2,Екатеринбург,Бытовая техника,10082.0,2698.0,7384.0,2,2.0
